Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
|name        |ra        |dec      |trigger_time           |t90     |t90_error|t90_start|fluence   |fluence_error|flux_1024|flux_1024_error|flux_1024_time|flux_64   |flux_64_error|
|GRB080714086|02 47 36.0|+08 30 00|2008-07-14|   5.376|    2.360|   -0.768|6.7648e-07|   4.0670e-08|   1.5364|         0.1767|        -0.960|    3.8219|       1.0611|
|GRB080714425|12 30 00.0|-74 00 00|2008-07-14|  40.192|    1.145|   -4.352|1.8139e-06|   2.0869e-08|   2.0165|         0.2050|        -2.688|    4.0019|       1.4479|
|GRB080714745|12 32 24.0|-60 12 00|2008-07-14|  59.649|   11.276|   -0.512|6.3330e-06|   1.4144e-07|   6.9258|         0.3875|         2.560|    8.8870|       1.6061|
|GRB080715950|14 18 48.0|+09 54 00|2008-07-15|   7.872|    0.272|    0.128|5.0402e-06|   7.9535e-08|   9.9143|         0.2190|         0.512|   19.4248|       0.9456|
|GRB080717543|09 49 12.0|-70 00 00|2008-07-17|  36.608|    2.985|   -5.376|4.4599e-06|   7.6842e-08|   2.8933|         0.2268|         3.072|    6.2448|       1.0783|
|GRB080719529|10 12 48.0|-61 18 00|2008-07-19|  16.128|   17.887|   -4.352|7.7533e-07|   2.9274e-08|   1.1226|         0.1635|         4.224|    2.7677|       0.8253|
|GRB080723557|11 47 12.0|-60 12 00|2008-07-23|  58.369|    1.985|    2.368|7.2230e-05|   2.5419e-07|  30.4516|         0.4913|        55.489|   40.9659|       2.2423|
|GRB080723913|07 33 12.0|-19 42 00|2008-07-23|   0.192|    0.345|   -0.064|1.3352e-07|   1.3650e-08|   1.4095|         0.1272|        -0.768|    5.2574|       0.7021|
|GRB080723985|07 01 12.0|+71 06 00|2008-07-23|  42.816|    0.659|    3.072|3.0792e-05|   2.0698e-07|  10.1219|         0.2771|        13.312|   13.4527|       1.2446|
|GRB080724401|23 53 12.0|+32 54 00|2008-07-24| 379.397|    2.202|   10.816|1.5691e-05|   5.0397e-08|  12.2000|         0.2902|        18.624|   22.7262|       1.3117|
|GRB080725435|08 06 48.0|-14 00 00|2008-07-25|  25.920|    1.208|   -2.816|7.9853e-06|   4.4172e-08|   3.3649|         0.1682|         7.872|    5.3812|       0.7678|
|GRB080725541|23 39 12.0|+08 54 00|2008-07-25|   0.960|    1.292|   -0.128|4.9216e-07|   4.3882e-08|   1.6901|         0.1291|        -1.152|    6.2687|       0.7758|
|GRB080727964|02 10 24.0|+64 06 00|2008-07-27|  89.089|    6.476|  -13.312|1.3298e-05|   7.9086e-08|   3.5263|         0.1787|        14.208|    6.4377|       0.9176|
|GRB080730520|16 21 36.0|+04 36 00|2008-07-30|  17.408|    6.229|   -0.576|4.8707e-06|   9.8931e-08|   5.6049|         0.2235|         4.416|    7.8278|       1.0340|
|GRB080730786|16 26 24.0|+28 42 00|2008-07-30|  13.312|    4.222|   -0.576|6.3460e-06|   8.3102e-08|  14.6150|         0.2252|         1.024|   16.8932|       0.9395|
|GRB080802386|10 17 12.0|+40 42 00|2008-08-02|   0.576|    0.091|   -0.064|3.9772e-07|   6.8520e-09|   2.9470|         0.1740|        -0.384|   10.4115|       1.1162|
